VaryasyonID,Barkod,StokKodu,StokAdedi
4662,48682010000854,8Y03TNK0178SYH4,0
5641,8682010004159,9K03HRK0313YSL,1
5794,8682010005583,9K02KBN416GRI,0
5815,28682010005538,9K02TRN0333BRD2,0
5844,8682010005682,9K03ELB226BEJ,3
5926,8682010005095,9K03KZKLB015SYH,15
6145,8682010006153,9K03ELB287KRMZ,0
6285,8682010006580,9K01TYT0339KHV,0
6575,8682010006597,9K01TYT44640GRI,2
6589,38682010006634,9K03ETK0341GRI3,1
6805,8695320000001,9Y03ELB1042BYZ,4
6807,8695320000001,9Y03ELB1042BYZ,19
6791,8695320000057,9Y03ELB1044LACI,0
6804,8695320000057,9Y03ELB1044LACI,4
6814,8695320000033,9Y03ELB1055LACI,0
6815,8695320000033,9Y03ELB1055LACI,1
6819,8695320000041,9Y03ELB1056KRMZ,4
6833,8682010007013,9K03TLM520YSL,0
6853,8682010006627,9K03ETK0340SYH,1
6856,8682010006993,8Y01TYT2071KHV,0
6874,8682010007037,9Y03BLZ0354KHV,40
6926,8682010007211,9Y03TLM1040SYH,2
6927,8682010007211,9Y03TLM1040SYH,2
6972,8682010007266,9Y03ELB1082LACI,4
6973,8682010007266,9Y03ELB1082LACI,3
6974,8682010007501,9Y03ELB1082BRD,4
6975,8682010007501,9Y03ELB1082BRD,2
6977,8682010007501,9Y03ELB1082BRD,1
6979,8682010007433,9Y03ELB1087BYZ,1
6982,8682010007563,9Y03ELB1033RNK,4
6984,8682010007563,9Y03ELB1033RNK,4
6985,8682010007563,9Y03ELB1033RNK,0
6992,8682010007532,9Y03ELB1042SYH,3
7020,8682010007327,9Y03TST3084KRMZ,14
7021,8682010007327,9Y03TST3084KRMZ,17
7022,8682010007327,9Y03TST3084KRMZ,15
7024,8682010007310,9Y03TST3084BYZ,18
7030,8682010007303,9Y03TST3084SARI,18
7031,8682010007297,9Y03TST3084HAKI,18
7073,8682010007723,9Y03ETK8054BEJ,0
7090,86818565011054,9Y03ELB1082BYZ,3
4659,18682010000854,8Y03TNK0178SYH,0
2986,28681856507930,8Y03TNK0178BYZ2,3
4994,38682010003039,8K03ELB0927BYZ3,2
5642,8682010003916,9K03KZK0305GRI,2
5718,8682010003817,9Y03TST3084SYH,16
5720,38682010003817,8Y03TST3084SYH3,19
5922,8682010005057,9K03KZKLB015LACI,12
6286,28682010006580,9K01TYT0339KHV2,3
6803,8695320000057,9Y03ELB1044LACI,3
6818,8695320000041,9Y03ELB1056KRMZ,2
6853,8682010006627,9K03ETK0340SYH,0
6865,8682010001226,8Y03TNK0179SYH,3
6924,8682010007211,9Y03TLM1040SYH,2
6975,8682010007501,9Y03ELB1082BRD,3
6976,8682010007501,9Y03ELB1082BRD,4
7021,8682010007327,9Y03TST3084KRMZ,16
7022,8682010007327,9Y03TST3084KRMZ,14
7090,86818565011054,9Y03ELB1082BYZ,2
7098,8682010007686,9Y03GML1028BRD,3
1733,8681856505165,9Y03TST3002BYZ,18
7040,8681856505165,9Y03TST3002BYZ,15
2987,38681856507930,8Y03TNK0178BYZ3,5
5718,8682010003817,9Y03TST3084SYH,15
5921,8682010005040,9K03KZKLB015BEJ,2
5949,8682010004777,9K03KZKLB04SYH,8
6852,8682010006627,9K03ETK0340SYH,2
6854,8682010006627,9K03ETK0340SYH,0
6855,8682010006627,9K03ETK0340SYH,0
6865,8682010001226,8Y03TNK0179SYH,2
6924,8682010007211,9Y03TLM1040SYH,1
6926,8682010007211,9Y03TLM1040SYH,1
6972,8682010007266,9Y03ELB1082LACI,2
6974,8682010007501,9Y03ELB1082BRD,3
6990,8682010007532,9Y03ELB1042SYH,4
7020,8682010007327,9Y03TST3084KRMZ,11
7030,8682010007303,9Y03TST3084SARI,16
7034,8682010007297,9Y03TST3084HAKI,19
7067,8681856500016,9Y03ELB1023SYH,18
7070,8681856500016,9Y03ELB1023SYH,19
7087,86818565011054,9Y03ELB1082BYZ,4
7089,86818565011054,9Y03ELB1082BYZ,4
5679,8682010003879,9K03SWT0301PMB,2
6863,8681856508012,8Y03TNK0179BYZ,3
6924,8682010007211,9Y03TLM1040SYH,0
6926,8682010007211,9Y03TLM1040SYH,4
6974,8682010007501,9Y03ELB1082BRD,4
6979,8682010007433,9Y03ELB1087BYZ,2
6987,8682010007549,9Y03ELB1033BYZ,4
6990,8682010007532,9Y03ELB1042SYH,3
7067,8681856500016,9Y03ELB1023SYH,15
1733,8681856505165,9Y03TST3002BYZ,17
