VaryasyonID,StokKodu,Barkod,StokAdedi
27342,DLD-7008,8681406524417,6
27341,DLD-7008,8681406524400,3
27345,DLD-7013,8681406524622,2
27378,DLD-7012,8681406524608,0
27415,001-018855,8680570214766,1
27671,MCT-1892-2,242575494061,46
28107,ECY-523,8681406525063,2
28114,ECY-519,8681406525131,1
28119,ECY-599,8681406525148,4
28370,ECY-652,8681406526008,1
28493,001-018795,8680570202008,0
28651,DGL-7152,869000003624,1
28652,DGL-7152,869000003625,0
28653,DGL-7152,869000003626,0
28656,SST-834,8681406531095,8
28663,SST-331-2,8681406530647,6
28704,001-018274,8696722853691,1
28840,NBL-1054,8681406526992,1
28918,SST-289,243713499826,46
28962,IFN-1030,8681406527227,5
28964,SST-344,8681406527302,2
28963,SST-344,8681406527296,6
28988,IFN-2000,8681406527333,10
29003,NBL-1064,8681406527845,15
29004,NBL-1064,8681406527852,5
29005,NBL-1064,8681406527869,5
29002,NBL-1064,8681406527838,8
29034,IFN-2004,8681406527500,0
29031,IFN-2004,8681406527470,3
29032,IFN-2004,8681406527487,17
29049,PSN-3170,8681406528040,2
29064,ECY-659,8681406528354,2
29072,IFN-2010,8681406528439,2
29138,PSN-4180,8681406529481,8
29147,PSN-4101,8681406529221,1
29151,PSN-4142,8681406529337,4
29160,PSN-4166,8681406529429,0
29162,PSN-4166,8681406529443,2
29385,SST-6505,9000504085,49
29405,SST-6560,9000504119,49
29413,SST-310,9000503838,48
29427,SST-484,9000503928,50
29458,SST-4026,8681406530692,4
29468,SST-961,8681406530661,12
29476,DGN-5307-3,8681406529764,1
29478,SST-915,8681406530715,13
29480,SST-829,9000504027,49
29487,SST-641,8681406531057,2
29493,SST-610,9000503951,43
29552,SST-914,8681406530708,14
29659,IFN-2020,8681406529849,10
29657,IFN-2020,8681406529825,9
29668,IFN-2026,8681406530029,0
29669,IFN-2019,8681406529795,0
29670,IFN-2019,8681406529801,0
29671,IFN-2019,8681406529818,0
29675,IFN-2023,8681406529917,0
29676,IFN-2023,8681406529924,0
29677,IFN-2023,8681406529931,0
29678,IFN-2013,8681406519369,0
29682,IFN-2014,8681406519413,0
29690,IFN-2024,8681406529948,9
29691,IFN-2024,8681406529955,4
29692,IFN-2024,8681406529962,0
29702,IFN-2015,8681406519444,0
29703,IFN-2015,8681406519451,0
29704,IFN-2015,8681406519468,0
29962,PSN-4100,8681406531712,5
29968,PSN-3222,8681406531514,5
29972,PSN-3251,8681406531620,0
29977,PSN-4201,8681406532351,5
29979,PSN-4201,8681406532375,7
29997,PSN-3275,8681406531682,4
29999,PSN-3250,8681406531590,1
30024,PSN-3120,8681406531385,10
30041,SST-315-1,9000520895,27
30042,SST-315-1,9000520896,30
30046,SST-323,9000520923,49
30048,SST-295,9000520921,49
30085,PSN-6062,8681406532146,4
30086,PSN-6023,8681406532122,9
30088,PSN-5027,8681406532214,3
30168,VNS-100-4,8681406530906,1
30171,VNS-100-3,8681406530852,3
30174,VNS-100-1,8681406530760,10
30175,VNS-100-1,8681406530777,16
30182,VNS-145-1,8681406530968,7
30215,IFN-2031,8681406531217,5
30222,IFN-2029,8681406531132,1
30223,IFN-2029,8681406531149,0
30224,IFN-2029,8681406531156,0
30234,SST-319-2,9000521781,49
21261,SST-765,9000437598,47
22555,TK-0922,9000450642,17
23172,TK-0117-3,9000450723,38
23179,TK-0117-2,9000450722,41
23718,FDS-8043,9000454255,41
23840,FDS-8075,9000454060,49
24898,FDS-8128-3,9000454038,42
24899,FDS-8128-3,9000454039,37
26557,001-018986,8680570234283,0
27033,IFN-5803-2,8681406520518,38
27115,ECY-634-2,8681406522482,7
27281,CH-0273-1,8681406522949,2
28202,MCT-5049-1,242707495123,49
29146,PSN-4101,8681406529214,4
29233,IFN-1038,8681406528798,7
29359,SST-6510-1,9000504091,46
29445,SST-070,9000503768,49
29487,SST-641,8681406531057,1
29933,ENM-830,9000508713,49
30078,SST-360,9000504143,49
30216,IFN-2031,8681406531224,3
28202,MCT-5049-1,242707495123,50
23802,FDS-8078,9000454102,48
24168,FDS-8096-3,9000454328,48
27055,283-000103,8697951080025,0
28202,MCT-5049-1,242707495123,49
29452,SST-290,9000503826,49
19621,DNR-5004,9000439049,1
19619,DNR-5004,9000439047,15
19807,OTS-3060,8698965505771,7
19799,OTS-3060,8698965507126,1
19806,OTS-3060,8698965502343,0
19856,SST-770,9000437604,42
19891,SST-755,9000437544,42
20016,5002-S102,9000451080,0
20088,UPL-63003,9000437071,0
20135,ECY-101,9000450755,1
20264,DLD-5043,8681406512292,5
20292,DLD-5039,8681406509285,4
20567,VNS-8100-2,8681406511974,109
20566,VNS-8100-2,8681406511981,162
20565,VNS-8100-2,8681406511998,31
20754,TKT-104,8681406502705,2
20755,TKT-104,8681406502729,7
20789,TKT-100,8681406502897,15
20786,TKT-100,8681406502866,8
20787,TKT-100,8681406502873,3
20795,TKT-101,8681406526244,1
20791,TKT-101,8681406526237,1
21262,SST-765,9000437599,48
21255,SST-765,9000437592,46
21362,UPL-80064-1,8680557076370,0
21554,001-018806,8680570206273,1
21558,001-018857,8680570214957,4
21557,001-018857,8680570214964,5
21556,001-018857,8680570214971,1
21559,001-018857,8680570214940,0
21719,MSP-10000-46,9000451774,2
21725,MSP-10000-51,9000451780,2
21734,SST-397,8681406516054,0
21899,SST-049,9000437431,49
21998,001-018281,8696722848598,2
21996,001-018281,8696722848574,3
22017,001-018563,8680570131858,3
22016,001-018563,8680570131865,3
22015,001-018563,8680570131872,2
22123,SMB1002BYZ,8690826150441,3
22233,SST-750,9000437514,36
22234,SST-750,9000437515,41
22243,SST-750,9000437524,47
22301,DLD-7004,8681406503924,1
22304,DLD-7009,8681406524349,1
22318,001-018141,8696722803887,4
22317,001-018141,8696722803870,5
22319,001-018141,8680570451307,5
22335,RBN-6012,8681406521201,19
22340,001-091072,8680570258449,0
22465,001-018051,8680570141468,0
22462,001-018051,8696722402516,12
22463,001-018051,8696722402523,9
22470,001-018052-1,8680570451666,5
22469,001-018052-1,8696722649454,1
22468,001-018052-1,8696722649461,4
22652,SST-101,9000451121,20
22676,SST-420,9000437261,42
22743,MRN-1440,9000452440,47
22897,MRN-1640,9000452514,49
22992,SST-346,8681406516115,13
23051,SST-1577,9000448461,49
23133,TK-0148-1,9000450648,32
23142,TK-0148-2,9000450657,18
23198,SST-308,8681406516375,17
23199,SST-308,8681406516382,16
23224,SST-901,9000437417,35
23257,MRN-135,9000452765,31
28572,MRN-165,233353498294,35
23265,MRN-120,9000452759,43
23380,MCT-1753,9000442028,28
23798,FDS-8030-4,9000454451,47
23858,FDS-8037,9000454090,43
23867,FDS-8126,9000454496,35
24167,FDS-8096-3,9000454327,48
24279,FDS-8013,9000454239,41
24280,FDS-8013,9000454240,37
24306,FDS-8125,9000454274,42
24311,FDS-8127-3,9000454279,42
24323,FDS-8130,9000454291,42
24319,FDS-8130,9000454287,44
24894,FDS-8128-1,9000454379,44
24907,FDS-8139-2,9000454304,20
25220,FDS-8035-2,9000454416,45
25606,FDS-8089,9000454035,45
25650,FDS-8091,9000454027,43
25679,FDS-8063-2,9000453976,45
25911,DLD-5005,8681406515088,6
25910,DLD-5005,8681406515071,1
25970,FML-353,8681406511707,1
25971,FML-354,8681406511714,1
25972,FML-355,8681406511721,7
26052,ECY-593,8681406514104,2
26063,ECY-590,8681406514012,2
26061,ECY-590,8681406513992,1
26093,ECY-640,8681406514838,3
26096,ECY-638,8681406514715,4
26103,ECY-630,8681406514302,10
27322,ECY-630,8681406514296,12
26108,ECY-641,8681406514890,1
26104,ECY-641,8681406514852,9
26169,ECY-632-1,8681406514371,1
26195,001-018049,8696722649157,1
26198,001-018220,8696722830302,5
26199,001-018220,8696722830319,4
26200,001-018220,8696722830326,4
26201,001-018260,8696722846952,8
26202,001-018260,8696722846969,12
26203,001-018260,8680570451321,8
26207,001-018564,8680570131896,3
26378,SRS-5024,8681406517211,3
26444,MSP-105135,8681406517914,9
26488,MSP-105151,8681406517969,13
26535,DLD-5002-2,239593483252,10
26534,DLD-5002-2,8681406521874,14
26537,DLD-5004-2,8681406521904,8
26558,001-018986,8680570234290,3
26557,001-018986,8680570234283,2
26559,001-018986,8680570234306,0
26568,237-002300-2,239779483633,2
26591,VNS-8260,8681406519000,2
26595,230-000392,8680570124775,2
26708,DLD-6019-2,8681406520020,11
26710,DLD-6019-2,8681406520044,1
26711,DLD-6019-2,8681406520051,4
26719,SST-945-1,8681406519734,5
26811,001-013126,8680570228930,1
26812,001-013126,8680570271301,0
27422,001-018050,8696722402400,5
27423,001-018050,8696722402394,5
27424,001-018050,8680570118224,3
28509,001-018050,8680570118439,4
26895,278-000057,8697951058833,0
26908,ECY-648,8681406521829,13
26909,ECY-648,8681406521836,12
26910,ECY-648,8681406521843,14
26911,ECY-648,8681406521850,10
26922,SST-975,8681406519666,11
26923,SST-900,8681406519642,5
26925,SST-333-2,8681406522185,8
26928,SST-336,8681406519772,0
27013,IFN-5803-3,8681406520556,21
27033,IFN-5803-2,8681406520518,37
27041,IFN-5803-1,8681406520488,2
27066,230-000017,8697951008876,0
27086,SST-999,8681406519680,10
27138,IFN-5804-2,8681406520938,1
27141,IFN-5804-1,8681406520884,9
27200,CH-0809-3,8681406523557,2
27202,CH-0062-10,8681406522925,0
27203,CH-0062-5,8681406522871,2
27229,CH-0343-1,8681406522987,7
27233,CH-0995-1,8681406522727,2
27249,CH-0343-5,8681406523021,17
27290,001-018991,8680570235068,4
27288,001-018991,8680570235044,3
27294,CH-0203-3,8681406522666,0
27298,IFN-1008,8681406523786,0
27301,IFN-1011,8681406523816,0
27338,DLD-7008,8681406524370,2
27401,IFN-5804-5,8681406521027,4
27404,IFN-5804-5,8681406521058,11
27414,001-018855,8680570214759,2
27432,ECY-597,8681406514227,16
27433,ECY-597,8681406514234,18
27434,ECY-597,8681406514241,14
27435,ECY-597,8681406514258,14
27563,MCT-2811-1,242756494788,48
27671,MCT-1892-2,242575494061,47
28114,ECY-519,8681406525131,0
28118,ECY-598,8681406525056,0
28134,MCT-5048-1,242701495117,49
28323,DGL-7312,869000004017,1
28338,230-000209,8697951017571,0
28343,NBL-1045,8681406525735,0
28344,NBL-1045,8681406525742,0
28345,NBL-1045,8681406525759,0
28346,NBL-1045,8681406525766,0
28454,ECY-652,8681406526442,3
28368,ECY-652,8681406525988,3
28369,ECY-652,8681406525995,3
28370,ECY-652,8681406526008,4
28491,001-018795,8680570202022,3
28492,001-018795,8680570202015,3
28493,001-018795,8680570202008,3
28504,ECY-656,8681406526473,0
28636,LNT-8039-3,8681078456931,3
28663,SST-331-2,8681406530647,5
28664,SST-331-2,8681406530654,8
28665,SST-331-3,243719498766,47
28685,001-018989,8680570234412,0
28695,001-018052-2,8696722649546,1
28694,001-018052-2,8696722649553,6
28700,001-018796,8680570202046,0
28703,001-018274,8696722853707,1
28704,001-018274,8696722853691,3
28705,001-018274,8696722853684,2
28840,NBL-1054,8681406526992,0
28849,PSN-3166,8681406527951,4
28868,PSN-3182,8681406528002,22
28869,PSN-3182,8681406528019,19
28872,PSN-4109,8681406528163,0
28882,PSN-4131,8681406528255,0
28883,PSN-4131,8681406528262,6
28887,PSN-4127,8681406528217,10
28886,PSN-4127,8681406528200,15
28914,SST-288,8681406530616,7
28916,SST-287,243711499822,48
28918,SST-289,243713499826,45
28925,SST-299,8681406531026,8
28958,IFN-1026,8681406527180,0
28962,IFN-1030,8681406527227,4
28964,SST-344,8681406527302,0
28982,IFN-2003,8681406527432,4
28987,IFN-2000,8681406527326,7
29001,IFN-2001,8681406527388,6
29003,NBL-1064,8681406527845,14
29004,NBL-1064,8681406527852,3
29005,NBL-1064,8681406527869,0
29016,NBL-1059,8681406527654,9
29031,IFN-2004,8681406527470,2
29046,SST-371,8681406527272,4
29052,PSN-4122,8681406528071,6
29063,ECY-659,8681406528347,5
29092,SST-347,8681406528729,9
29136,PSN-4180,8681406529467,9
29146,PSN-4101,8681406529214,3
29152,PSN-4142,8681406529349,3
29153,PSN-4142,8681406529351,6
29161,PSN-4166,8681406529436,0
29210,IFN-1052,8681406528934,7
29223,IFN-1046,8681406528873,4
29239,"IFN-1053 ",8681406528941,5
29244,IFN-1074,8681406529153,8
29253,DGN-5307-2,8681406529740,1
29255,DGN-5307-4,8681406529771,9
29261,IFN-1087,8681406529689,9
29262,IFN-1084,8681406529658,10
29269,IFN-1076,8681406529573,5
29272,NBL-1066,8681406529559,13
29296,SST-370,9000503854,0
29309,SST-302,9000503834,48
29341,SST-478,9000503927,48
29365,SST-6510-2,9000504089,48
29372,SST-6535,9000504104,49
29388,SST-6545,9000504112,49
29396,"SST-6555 ",9000504114,49
29426,SST-359,9000503848,49
29454,SST-312,9000503839,49
29468,SST-961,8681406530661,11
29471,SST-935,8681406530678,16
29493,SST-610,9000503951,42
29526,SST-901,9000504038,48
29550,SST-795-3,9000504003,47
29553,SST-833,9000504032,41
29574,SST-921,8681406530722,16
29575,SST-644,9000503977,48
29584,ECY-654-2,8681406529702,0
29622,IFN-1097,8681406530494,3
29628,IFN-1098,8681406530555,4
29632,IFN-1099,8681406530593,4
29658,IFN-2020,8681406529832,7
29659,IFN-2020,8681406529849,8
29657,IFN-2020,8681406529825,8
29663,IFN-2021,8681406529856,10
29664,IFN-2021,8681406529863,4
29665,IFN-2021,8681406529870,8
29672,IFN-2016,8681406519482,7
29674,IFN-2016,8681406519505,2
29690,IFN-2024,8681406529948,0
29691,IFN-2024,8681406529955,0
29697,237-001700,9000508730,2
29824,ENM-875,9000508834,49
29953,PSN-4223,8681406531927,8
29955,PSN-4223,8681406531941,4
29962,PSN-4100,8681406531712,2
29965,PSN-4226,8681406531989,6
29967,PSN-4226,8681406532009,9
29968,PSN-3222,8681406531514,3
29978,PSN-4201,8681406532368,8
29979,PSN-4201,8681406532375,8
29981,PSN-4260,8681406532092,0
29988,PSN-3276,8681406531705,5
29995,PSN-3275,8681406531668,4
29996,PSN-3275,8681406531675,6
29999,PSN-3250,8681406531590,0
30000,PSN-3250,8681406531606,6
30008,PSN-3274,8681406531644,6
30022,PSN-3120,8681406531361,4
30028,PSN-4163,8681406531743,10
30041,SST-315-1,9000520895,23
30042,SST-315-1,9000520896,26
30048,SST-295,9000520921,48
30062,SST-367,9000448331,44
30063,SST-367,9000448332,42
30243,SST-360,9000504142,50
30244,SST-360,9000504143,49
30079,SST-835-1,9000520906,49
30083,PSN-5003,8681406532191,1
30085,PSN-6062,8681406532146,3
30088,PSN-5027,8681406532214,1
30091,PSN-4121,8681406531736,2
30107,ENM-539,9000508595,49
30126,ENM-568,9000508618,48
30130,ENM-569,9000508622,49
30146,ENM-565,9000508610,49
30164,VNS-300-1,8681406530944,5
30171,VNS-100-3,8681406530852,2
30173,VNS-100-1,8681406530753,5
30174,VNS-100-1,8681406530760,7
30175,VNS-100-1,8681406530777,14
30176,VNS-100-1,8681406530784,4
30181,VNS-145-1,8681406530951,0
30194,ENM-741,9000508890,49
30207,IFN-2032,8681406531255,2
30211,IFN-2033,8681406531293,3
30215,IFN-2031,8681406531217,2
30222,IFN-2029,8681406531132,0
30226,IFN-2028,8681406531118,6
30227,IFN-2028,8681406531125,3
30230,PSN-4105,8681406532344,6
30231,SST-319-1,9000521778,48
30235,PSN-5062,8681406532184,4
30236,PSN-5020,8681406532207,9
20470,NBL-1019,8681406512926,5
20469,NBL-1019,8681406512919,6
20491,ECY-518,8681406502330,13
20567,VNS-8100-2,8681406511974,106
20566,VNS-8100-2,8681406511981,160
20565,VNS-8100-2,8681406511998,32
20593,ECY-515,8681406507731,2
20626,ECY-517,8681406506444,3
20800,TKT-102,8681406502828,2
21254,SST-765,9000437591,43
21996,001-018281,8696722848574,4
22016,001-018563,8680570131865,2
22029,SST-330,8681406516030,1
22248,SST-751,9000437529,42
22335,RBN-6012,8681406521201,18
22371,001-091019,8680570175968,3
22653,SST-101,9000451122,20
23120,TK-0060-2,9000450689,8
23133,TK-0148-1,9000450648,33
26713,SST-1483,8681406531088,3
23380,MCT-1753,9000442028,29
23659,FDS-8097-3,9000454338,47
23859,FDS-8037,9000454091,39
24167,FDS-8096-3,9000454327,49
24255,FDS-8096-1,9000453938,49
24306,FDS-8125,9000454274,43
24313,FDS-8127-3,9000454281,46
24898,FDS-8128-3,9000454038,41
26032,ECY-591,8681406514029,2
26084,ECY-639,8681406514784,4
26085,ECY-639,8681406514791,4
26094,ECY-640,8681406514845,3
26099,ECY-638,8681406514746,3
26108,ECY-641,8681406514890,0
26104,ECY-641,8681406514852,10
26197,001-018049,8680570451284,1
26200,001-018220,8696722830326,3
26203,001-018260,8680570451321,6
26447,MSP-105145,8681406517907,14
26557,001-018986,8680570234283,1
26710,DLD-6019-2,8681406520044,0
26711,DLD-6019-2,8681406520051,3
26733,DLD-6020-2,8681406521140,1
26893,283-000107,8697951080063,0
26904,ECY-647,8681406521782,6
26905,ECY-647,8681406521799,6
26906,ECY-647,8681406521805,6
26907,ECY-647,8681406521812,6
27426,001-018665,8680570169813,0
27013,IFN-5803-3,8681406520556,20
27041,IFN-5803-1,8681406520488,0
27137,IFN-5804-2,8681406520921,1
27141,IFN-5804-1,8681406520884,8
27290,001-018991,8680570235068,6
27294,CH-0203-3,8681406522666,1
27298,IFN-1008,8681406523786,2
27345,DLD-7013,8681406524622,3
28116,ECY-598,8681406525032,9
28117,ECY-598,8681406525049,8
28118,ECY-598,8681406525056,8
28368,ECY-652,8681406525988,2
28377,ECY-650,8681406525926,2
28493,001-018795,8680570202008,2
28982,IFN-2003,8681406527432,3
29004,NBL-1064,8681406527852,0
29032,IFN-2004,8681406527487,15
29055,PSN-4181,8681406528095,9
29065,ECY-659,8681406528361,9
29063,ECY-659,8681406528347,9
29064,ECY-659,8681406528354,7
29068,IFN-2009,8681406528392,0
29069,IFN-2009,8681406528408,0
29091,SST-347,8681406528712,10
29138,PSN-4180,8681406529481,7
29146,PSN-4101,8681406529214,4
29153,PSN-4142,8681406529351,5
29154,PSN-4162,8681406529399,1
29155,PSN-4162,8681406529405,5
29252,ORK-4040-IND,9000503611,0
29262,IFN-1084,8681406529658,11
29275,NBL-1065,8681406529504,16
29308,SST-302,9000503833,49
29309,SST-302,9000503834,49
29412,SST-310,9000503837,49
29438,SST-3016,9000504052,48
29468,SST-961,8681406530661,10
29471,SST-935,8681406530678,17
29487,SST-641,8681406531057,0
29498,SST-633,9000503971,49
29526,SST-901,9000504038,47
29584,ECY-654-2,8681406529702,1
29658,IFN-2020,8681406529832,6
29659,IFN-2020,8681406529849,6
29662,IFN-2018,8681406519345,5
29669,IFN-2019,8681406529795,1
29687,IFN-2025,8681406529979,0
29964,PSN-4100,8681406531729,7
29966,PSN-4226,8681406531996,7
29968,PSN-3222,8681406531514,2
29976,PSN-3207,8681406531477,10
29988,PSN-3276,8681406531705,7
30000,PSN-3250,8681406531606,5
30011,PSN-4253,8681406532078,9
30031,PSN-4211,8681406531866,8
30048,SST-295,9000520921,47
30049,SST-837,9000520924,46
30063,SST-367,9000448332,40
30161,VNS-300-1,8681406530913,5
30163,VNS-300-1,8681406530937,9
30170,VNS-100-3,8681406530845,8
30216,IFN-2031,8681406531224,0
30225,IFN-2028,8681406531101,9
30227,IFN-2028,8681406531125,2
30235,PSN-5062,8681406532184,2
19658,DNR-5016,8681406504822,0
19839,OTS-3212,8698965525014,0
20274,DLD-5038,8681406509216,0
20292,DLD-5039,8681406509285,3
20405,NBB-11012,9000439503,0
20490,ECY-518,8681406502323,4
20503,ECY-543,8681406509162,3
20567,VNS-8100-2,8681406511974,101
20566,VNS-8100-2,8681406511981,159
20565,VNS-8100-2,8681406511998,27
20788,TKT-100,8681406502880,3
20798,TKT-102,8681406502804,0
21076,ECY-628,8681406508080,0
21074,ECY-628,8681406508066,0
21073,ECY-628,8681406508059,0
21072,ECY-628,8681406508042,1
21075,ECY-628,8681406508073,0
21197,LNT-8022-2,8681078446505,6
21554,001-018806,8680570206273,0
21558,001-018857,8680570214957,3
21657,SST-368,9000448337,50
21666,SST-390,9000448360,0
21719,MSP-10000-46,9000451774,1
21734,SST-397,8681406516054,17
21985,SST-315-2,9000437338,2
21984,SST-315-2,8681406533082,4
22029,SST-330,8681406516030,19
22463,001-018051,8696722402523,7
22653,SST-101,9000451122,19
22993,SST-346,8681406516122,12
23148,TK-0148-3,9000450663,42
23198,SST-308,8681406516375,16
23199,SST-308,8681406516382,15
26713,SST-1483,8681406531088,2
23659,FDS-8097-3,9000454338,48
23786,FDS-8030-1,9000454439,45
24511,FDS-4976,9000453530,49
24910,FDS-8127-1,9000454455,35
25913,DLD-5005,8681406515101,4
25951,DLD-6003-1,8681406515279,17
26044,ECY-595,8681406514180,0
26096,ECY-638,8681406514715,3
26201,001-018260,8696722846952,6
26207,001-018564,8680570131896,2
26222,ECY-643-1,8681406516214,1
26223,ECY-643-1,8681406516221,2
26221,ECY-643-1,8681406516207,1
26224,ECY-643-1,8681406516238,1
26220,ECY-643-1,8681406516191,1
26441,MSP-105119,8681406517945,12
26444,MSP-105135,8681406517914,8
26561,001-018790,8680570201292,8
26509,278-000821,8697951059069,3
26587,ECY-643-2,8681406519598,0
26586,ECY-643-2,8681406519581,0
26584,ECY-643-2,8681406519567,1
26588,ECY-643-2,8681406519604,0
26585,ECY-643-2,8681406519574,0
26644,ECY-645,8681406519109,1
26645,ECY-645,8681406519116,2
26646,ECY-645,8681406519123,2
26647,ECY-645,8681406519130,3
26648,ECY-645,8681406519147,2
27049,001-013126,8680570228923,2
27422,001-018050,8696722402400,4
27423,001-018050,8696722402394,4
26875,SST-314,8681406522154,4
26927,SST-336,8681406519765,8
26928,SST-336,8681406519772,5
27331,230-000006,8697951000757,0
27013,IFN-5803-3,8681406520556,18
27033,IFN-5803-2,8681406520518,35
27115,ECY-634-2,8681406522482,6
27120,ECY-644-2,8681406522437,8
27160,001-013125,8680570228435,2
27163,001-000036,8680570447881,4
27289,001-018991,8680570235051,6
27381,DLD-7003,8681406524141,2
27402,IFN-5804-5,8681406521034,4
27419,001-018584,8680570141956,0
27433,ECY-597,8681406514234,14
28112,ECY-519,8681406525117,12
28113,ECY-519,8681406525124,14
28114,ECY-519,8681406525131,16
28349,ECY-655,8681406526114,2
28360,ECY-654-1,8681406526053,1
28361,ECY-654-1,8681406526060,1
28362,ECY-654-1,8681406526077,2
28364,ECY-653,8681406526015,1
28365,ECY-653,8681406526022,1
28369,ECY-652,8681406525995,2
28370,ECY-652,8681406526008,3
28633,LNT-8039-2,8681078460266,0
28665,SST-331-3,243719498766,46
28693,DLD-6025-1,8681406526848,6
28811,ECY-658,8681406526916,3
28849,PSN-3166,8681406527951,2
28852,PSN-3167,8681406527982,5
28884,PSN-4131,8681406528279,6
28922,SST-297,8681406530999,7
28984,IFN-2003,8681406527456,8
29002,NBL-1064,8681406527838,7
29013,NBL-1061,8681406527746,0
29025,IFN-2005,8681406527548,5
29032,IFN-2004,8681406527487,11
29049,PSN-3170,8681406528040,1
29066,ECY-659,8681406528378,7
29065,ECY-659,8681406528361,8
29064,ECY-659,8681406528354,4
29069,IFN-2009,8681406528408,0
29229,IFN-1036,8681406528774,9
29234,IFN-1039,8681406528804,6
29253,DGN-5307-2,8681406529740,2
29271,NBL-1066,8681406529542,13
29272,NBL-1066,8681406529559,11
29273,NBL-1066,8681406529566,2
29310,SST-3017,9000504054,47
29313,SST-14,9000503778,49
29332,SST-3018,9000504057,49
29368,SST-6515,9000504096,48
29377,SST-6530,9000504101,48
29468,SST-961,8681406530661,9
29535,SST-839,9000504035,48
29550,SST-795-3,9000504003,46
29556,SST-721,9000503982,49
29659,IFN-2020,8681406529849,3
29662,IFN-2018,8681406519345,5
29663,IFN-2021,8681406529856,6
29669,IFN-2019,8681406529795,1
29670,IFN-2019,8681406529801,0
29671,IFN-2019,8681406529818,0
29678,IFN-2013,8681406519369,0
29679,IFN-2013,8681406519376,0
29680,IFN-2013,8681406519383,0
29968,PSN-3222,8681406531514,3
30000,PSN-3250,8681406531606,4
30022,PSN-3120,8681406531361,2
30033,PSN-4211,8681406531880,9
30041,SST-315-1,8681406533068,33
30042,SST-315-1,8681406533075,24
30083,PSN-5003,8681406532191,0
30085,PSN-6062,8681406532146,2
30088,PSN-5027,8681406532214,0
30166,VNS-100-4,8681406530883,6
30173,VNS-100-1,8681406530753,6
30176,VNS-100-1,8681406530784,2
30184,VNS-145-1,8681406530982,3
30202,IFN-2034,8681406531323,3
30203,IFN-2034,8681406531330,13
30204,IFN-2034,8681406531347,9
30205,IFN-2034,8681406531354,4
30207,IFN-2032,8681406531255,0
30213,IFN-2033,8681406531316,2
30215,IFN-2031,8681406531217,1
30216,IFN-2031,8681406531224,0
30226,IFN-2028,8681406531118,4
30227,IFN-2028,8681406531125,0
30230,PSN-4105,8681406532344,6
30233,SST-319-2,9000521780,49
30234,SST-319-2,9000521781,47
30237,SST-1453,9000524216,49
19659,DNR-5016,8681406504839,1
19854,OTS-3006,8698965512038,0
20267,DLD-5044,8681406512322,2
20292,DLD-5039,8681406509285,2
20502,ECY-543,8681406502033,6
20567,VNS-8100-2,8681406511974,100
20565,VNS-8100-2,8681406511998,26
