VaryasyonID,Barkod,StokKodu,StokAdedi
26096,8681406514715,ECY-638,4
26103,8681406514302,ECY-630,10
27322,8681406514296,ECY-630,12
26108,8681406514890,ECY-641,1
26104,8681406514852,ECY-641,9
26169,8681406514371,ECY-632-1,1
26195,8696722649157,001-018049,1
26198,8696722830302,001-018220,5
26199,8696722830319,001-018220,4
26200,8696722830326,001-018220,4
26201,8696722846952,001-018260,8
26202,8696722846969,001-018260,12
26203,8680570451321,001-018260,8
26207,8680570131896,001-018564,3
26378,8681406517211,SRS-5024,3
26444,8681406517914,MSP-105135,9
26488,8681406517969,MSP-105151,13
26535,239593483252,DLD-5002-2,10
26534,8681406521874,DLD-5002-2,14
26537,8681406521904,DLD-5004-2,8
26558,8680570234290,001-018986,3
26557,8680570234283,001-018986,2
26559,8680570234306,001-018986,0
26568,239779483633,237-002300-2,2
26591,8681406519000,VNS-8260,2
26595,8680570124775,230-000392,2
26708,8681406520020,DLD-6019-2,11
26710,8681406520044,DLD-6019-2,1
26711,8681406520051,DLD-6019-2,4
26719,8681406519734,SST-945-1,5
26811,8680570228930,001-013126,1
26812,8680570271301,001-013126,0
27422,8696722402400,001-018050,5
27423,8696722402394,001-018050,5
27424,8680570118224,001-018050,3
28509,8680570118439,001-018050,4
26895,8697951058833,278-000057,0
26908,8681406521829,ECY-648,13
26909,8681406521836,ECY-648,12
26910,8681406521843,ECY-648,14
26911,8681406521850,ECY-648,10
26922,8681406519666,SST-975,11
26923,8681406519642,SST-900,5
26925,8681406522185,SST-333-2,8
26928,8681406519772,SST-336,0
27013,8681406520556,IFN-5803-3,21
27033,8681406520518,IFN-5803-2,37
27041,8681406520488,IFN-5803-1,2
27066,8697951008876,230-000017,0
27086,8681406519680,SST-999,10
27138,8681406520938,IFN-5804-2,1
27141,8681406520884,IFN-5804-1,9
27200,8681406523557,CH-0809-3,2
27202,8681406522925,CH-0062-10,0
27203,8681406522871,CH-0062-5,2
27229,8681406522987,CH-0343-1,7
27233,8681406522727,CH-0995-1,2
27249,8681406523021,CH-0343-5,17
27290,8680570235068,001-018991,4
27288,8680570235044,001-018991,3
27294,8681406522666,CH-0203-3,0
27298,8681406523786,IFN-1008,0
27301,8681406523816,IFN-1011,0
27338,8681406524370,DLD-7008,2
27401,8681406521027,IFN-5804-5,4
27404,8681406521058,IFN-5804-5,11
27414,8680570214759,001-018855,2
27432,8681406514227,ECY-597,16
27433,8681406514234,ECY-597,18
27434,8681406514241,ECY-597,14
27435,8681406514258,ECY-597,14
27563,242756494788,MCT-2811-1,48
27671,242575494061,MCT-1892-2,47
28114,8681406525131,ECY-519,0
28118,8681406525056,ECY-598,0
28134,242701495117,MCT-5048-1,49
28323,869000004017,DGL-7312,1
28338,8697951017571,230-000209,0
28454,8681406526442,ECY-652,3
28368,8681406525988,ECY-652,3
28369,8681406525995,ECY-652,3
28370,8681406526008,ECY-652,4
28491,8680570202022,001-018795,3
28492,8680570202015,001-018795,3
28493,8680570202008,001-018795,3
28504,8681406526473,ECY-656,0
28636,8681078456931,LNT-8039-3,3
28663,8681406530647,SST-331-2,5
28664,8681406530654,SST-331-2,8
28665,243719498766,SST-331-3,47
28685,8680570234412,001-018989,0
28695,8696722649546,001-018052-2,1
28694,8696722649553,001-018052-2,6
28700,8680570202046,001-018796,0
28703,8696722853707,001-018274,1
28704,8696722853691,001-018274,3
28705,8696722853684,001-018274,2
28840,8681406526992,NBL-1054,0
28849,8681406527951,PSN-3166,4
28868,8681406528002,PSN-3182,22
28869,8681406528019,PSN-3182,19
28872,8681406528163,PSN-4109,0
28882,8681406528255,PSN-4131,0
28883,8681406528262,PSN-4131,6
28887,8681406528217,PSN-4127,10
28886,8681406528200,PSN-4127,15
28914,8681406530616,SST-288,7
28916,243711499822,SST-287,48
28918,243713499826,SST-289,45
28925,8681406531026,SST-299,8
28958,8681406527180,IFN-1026,0
28962,8681406527227,IFN-1030,4
28964,8681406527302,SST-344,0
28982,8681406527432,IFN-2003,4
28987,8681406527326,IFN-2000,7
29001,8681406527388,IFN-2001,6
29003,8681406527845,NBL-1064,14
29004,8681406527852,NBL-1064,3
29005,8681406527869,NBL-1064,0
29016,8681406527654,NBL-1059,9
29031,8681406527470,IFN-2004,2
29046,8681406527272,SST-371,4
29052,8681406528071,PSN-4122,6
29063,8681406528347,ECY-659,5
29092,8681406528729,SST-347,9
29136,8681406529467,PSN-4180,9
29146,8681406529214,PSN-4101,3
29152,8681406529349,PSN-4142,3
29153,8681406529351,PSN-4142,6
29161,8681406529436,PSN-4166,0
29210,8681406528934,IFN-1052,7
29223,8681406528873,IFN-1046,4
29239,8681406528941,"IFN-1053 ",5
29244,8681406529153,IFN-1074,8
29253,8681406529740,DGN-5307-2,1
29255,8681406529771,DGN-5307-4,9
29261,8681406529689,IFN-1087,9
29262,8681406529658,IFN-1084,10
29269,8681406529573,IFN-1076,5
29272,8681406529559,NBL-1066,13
29296,9000503854,SST-370,0
29309,9000503834,SST-302,48
29341,9000503927,SST-478,48
29365,9000504089,SST-6510-2,48
29372,9000504104,SST-6535,49
29388,9000504112,SST-6545,49
29396,9000504114,"SST-6555 ",49
29426,9000503848,SST-359,49
29454,9000503839,SST-312,49
29468,8681406530661,SST-961,11
29471,8681406530678,SST-935,16
29493,9000503951,SST-610,42
29526,9000504038,SST-901,48
29550,9000504003,SST-795-3,47
29553,9000504032,SST-833,41
29574,8681406530722,SST-921,16
29575,9000503977,SST-644,48
29584,8681406529702,ECY-654-2,0
29622,8681406530494,IFN-1097,3
29628,8681406530555,IFN-1098,4
29632,8681406530593,IFN-1099,4
29658,8681406529832,IFN-2020,7
