Id,Stock
66986,1
66987,1
66988,1
66989,2
66990,2
66991,2
66992,1
66993,1
66994,0
66995,1
66996,1
66997,0
66998,0
66999,2
67000,0
67001,0
67002,0
67003,1
67004,1
67005,0
67006,1
67007,1
67008,1
67009,0
67010,0
67011,0
67012,0
67013,1
67014,0
67015,0
67016,0
67017,0
67018,0
67019,1
67020,2
67021,0
67022,0
67023,0
67024,0
67025,0
67026,0
67027,0
67028,0
67029,0
67030,2
67031,1
67032,2
67033,0
67034,2
67035,0
67036,0
67037,0
67038,0
67039,4
67040,4
67041,1
67042,2
67043,2
67044,1
67045,9
67046,10
67047,0
67048,1
67049,3
67050,1
67051,3
67052,0
67053,0
67054,0
67055,1
67056,2
67057,0
67058,0
67059,0
67060,0
67061,19
67062,3
67063,0
67064,3
67065,0
67066,0
67067,0
67068,0
67069,0
67070,0
67071,0
67072,0
67073,0
67074,1
67075,1
67076,0
67077,2
67078,3
67079,0
67080,2
67081,1
67082,0
67083,0
67084,1
67085,4
67086,3
67087,3
67088,0
67089,0
67090,0
67091,1
67092,1
67093,0
67094,0
67095,1
67096,0
67097,1
67098,1
67099,2
67100,4
67101,2
67102,4
67103,1
67104,3
67105,4
67106,3
67107,4
67108,2
67109,0
67110,0
67111,0
67112,2
67113,0
67114,1
67115,1
67116,0
67117,0
67118,0
67119,1
67120,6
67121,4
67122,1
67123,0
67124,0
67125,0
67126,1
67127,0
67128,0
67129,0
67130,0
67131,0
67132,0
67133,0
67134,1
67135,4
67136,1
67137,13
67138,1
67139,0
67140,2
67141,0
67142,0
67143,0
67144,1
67145,1
67146,2
67147,1
67148,0
67149,1
67150,0
67151,1
67152,0
67153,0
67154,0
67155,0
67156,1
67157,0
67158,0
67159,0
67160,1
67161,1
67162,2
67163,1
67164,0
67165,1
67166,0
67167,0
67168,0
67169,0
67170,0
67171,1
67172,0
67173,0
67174,1
67175,2
67176,2
67177,2
67178,1
67179,0
67180,3
67181,1
67182,3
67183,2
67184,3
67185,7
67186,7
67187,5
67188,3
67189,4
67190,0
67191,1
