VaryasyonID,Barkod,StokAdedi
21509,6557968897523,2
21510,6557968897547,3
35161,6557968897530,1
21613,6557968902951,8
21624,6557968903071,4
21625,6557968903088,6
21665,6557968903514,4
21693,6557968903835,4
21899,6557968841922,0
21900,6557968841939,0
21901,6557968841946,0
21902,6557968841953,0
21904,6557968841977,0
21906,6557968841991,0
21908,6557968842011,0
26575,6557968842066,0
21909,6557968842028,0
21913,6557968849386,1
21914,6557968849393,3
21915,6557968849409,0
21916,6557968849416,0
21917,6557968849423,0
21918,6557968849430,0
21919,6557968849447,0
21920,6557968849454,0
21922,6557968849478,0
21923,6557968849492,0
21924,6557968849553,0
21925,6557968849560,0
21926,6557968849577,0
21927,6557968849584,0
21928,6557968849591,0
21931,6557968849652,0
21932,6557968849669,0
21933,6557968849676,0
21934,6557968870472,0
21936,6557968870502,0
21937,6557968873237,0
21938,6557968873244,0
21939,6557968873251,0
21940,6557968873268,0
21941,6557968873275,0
21942,6557968873282,0
21943,6557968873299,0
21944,6557968873305,0
21945,6557968873312,0
21946,6557968873329,0
30394,6557968868349,0
21947,6557968868356,0
21948,6557968868363,0
21949,6557968868370,0
21950,6557968868387,0
30571,6557968883762,0
30570,6557968883748,0
30569,6557968883724,0
21951,6557968883731,0
21952,6557968883755,0
21953,6557968878140,0
21954,6557968878157,0
21955,6557968878164,0
21956,6557968878171,0
21957,6557968878188,0
21958,6557968883625,0
21959,6557968883632,0
21960,6557968883649,0
21961,6557968883656,0
30796,6557968883700,0
21962,6557968883670,0
21963,6557968883687,0
21964,6557968883694,0
21965,6557968883717,0
29199,6557968751702,0
29196,6557968751580,4
22027,6557968751603,2
22028,6557968751627,11
22029,6557968751641,1
22030,6557968751658,2
22032,6557968751672,3
22034,6557968751719,0
22107,6557968756318,5
22110,6557968756356,6
29358,6557968775852,0
30179,6557968782294,1
22458,6557968782256,6
22614,6557968809700,0
41664,6557968809694,0
31460,6557968856216,0
29867,6557968856278,0
29866,6557968856261,0
29865,6557968856254,1
29864,6557968856223,1
29863,6557968856209,0
26205,6557968856193,1
26204,6557968856162,1
22666,6557968856148,2
22667,6557968856186,0
22668,6557968856230,3
22669,6557968856247,0
22689,6557968856513,5
22723,6557968863795,4
22915,6557968787350,0
22916,6557968787367,0
22917,6557968787374,0
22918,6557968787381,0
22983,6557968760650,0
22984,6557968760667,0
22985,6557968760674,0
22986,6557968760681,0
22987,6557968760698,0
22996,6557968765266,0
22997,6557968765273,0
22998,6557968765280,0
22999,6557968765297,0
26766,6557968770352,0
23000,6557968770314,0
23304,6557968916286,6
26580,6557968916699,1
23316,6557968916583,4
23329,6557968924236,0
23330,6557968924250,0
23331,6557968924281,0
23332,6557968924298,0
23333,6557968924304,0
23334,6557968924328,0
23335,6557968924335,0
23336,6557968924342,0
23337,6557968924359,0
23338,6557968924366,0
25875,6557968924274,0
42774,6557968924311,0
23339,6557968924373,4
23340,6557968924397,1
23341,6557968924410,5
23342,6557968924427,3
23343,6557968924434,1
23344,6557968924441,3
23345,6557968924458,2
23346,6557968924465,1
23347,6557968924472,0
23348,6557968924489,3
23349,6557968924496,0
23350,6557968924502,3
23351,6557968925691,0
30379,6557968930787,0
23376,6557968930732,3
23377,6557968930749,8
35245,6557968930770,0
23390,6557968931630,5
23395,6557968932064,8
23396,6557968932088,5
23398,6557968932125,8
23400,6557968932149,15
23401,6557968932163,6
23403,6557968932187,8
23405,6557968932200,1
23442,6557968945965,3
23474,6557968946863,6
30381,6557968947389,1
23483,6557968947303,1
23484,6557968947327,0
23485,6557968947341,3
23486,6557968947358,6
23487,6557968947365,0
23488,6557968947396,0
23489,6557968947402,0
23491,6557968947433,0
25868,6557968947372,1
23495,6557968948058,1
23500,6557968948119,2
23502,6557968948133,0
23505,6557968948324,1
23506,6557968948331,2
23516,6557968948584,1
23521,6557968948645,0
23534,6557968959481,9
23535,6557968959504,13
23536,6557968959528,21
23537,6557968959535,24
23540,6557968959566,13
23542,6557968959580,14
23543,6557968959597,7
23544,6557968959603,12
26281,6557968959740,1
26285,6557968964379,8
26284,6557968964362,9
23638,6557968964263,1
23639,6557968964287,6
23640,6557968964300,3
23641,6557968964317,2
23642,6557968964324,8
23643,6557968964331,3
23644,6557968964348,10
23645,6557968964355,1
30186,6557968966694,0
25869,6557968966625,0
25870,6557968966656,2
25876,6557968966731,0
33280,6557968966601,0
35244,6557968966663,0
43029,6557968966724,0
43152,6557968966649,0
23695,6557968966885,2
23696,6557968966908,3
23700,6557968966977,0
23702,6557968967004,1
23755,6557968973951,4
29512,6557968997896,0
29511,6557968997889,0
29510,6557968997872,0
29509,6557968997865,0
29508,6557968997858,0
29507,6557968997827,0
23771,6557968997766,1
23772,6557968997780,2
23773,6557968997803,1
23774,6557968997810,4
23775,6557968997834,2
23776,6557968997841,1
23777,6557968991221,5
23782,6557968991276,1
23785,6557968991313,4
23800,6557968991931,6
23803,6557968991993,2
23806,6557968992044,8
23807,6557968992068,4
32011,6557968991955,0
32004,6557968992037,2
42810,6557968992082,0
23817,6557968992198,4
23820,6557968992228,0
31528,6557968992334,0
23825,6557968992303,1
23873,6557968994079,5
23876,6557968994734,0
23877,6557968994741,3
23882,6557968994796,2
27258,6557968996639,1
23935,6557968996578,2
26301,6557968996776,1
26299,6557968996745,2
23938,6557968996660,5
23939,6557968996684,3
23950,6557968996929,4
23955,6557968997018,4
23967,6557968997155,4
23968,6557968997162,1
23969,6557968997179,5
23989,6557968997445,6
26758,6557968997612,0
26757,6557968997599,0
23992,6557968997483,1
23993,6557968997506,0
23994,6557968997520,2
23995,6557968997537,0
23996,6557968997544,6
23997,6557968997551,0
23998,6557968997568,0
23999,6557968997575,0
24000,6557968997582,2
24001,6557968997605,3
24018,6557968998220,10
26304,6557968999173,6
24036,6557968999135,10
24064,6557968999593,0
24080,6557968999913,8
24084,6557968999951,2
24094,6557969000205,6
24095,6557969000243,5
24102,6557969000366,4
