product_id,stok_kodu,miktar
10753,"Clariss Kutu",286
8202,BKP1067,0
8193,BKP1058,11
5639,BB622,12
5533,EB697,29
4297,BKO978,0
3068,BKO739,1
926,BKO178,5
291,BB141,1
28960,EB2500-KS,15
28945,EB2485-KS,6
28838,EB2452,56
28754,BKO4175-KS,18
28622,EB2403,13
28566,EB2347-KS,19
28505,EB2331,3
27902,BK2353,6
27863,HH897-KS,1
27257,BY803-KS,9
26909,BKO3966-KS,26
26764,SN429-KS,15
26533,EB2026-KS,4
26523,EB2016-KS,6
25589,EB1880,12
25587,EB1878,19
25586,EB1877,13
25471,ERK496,7
25264,BS1727,6
23341,EB1648,2
21576,EB1399,9
20337,HH317,4
18562,EY170,3
15934,BKO2529,6
13537,HZM110,2720
7387,BLZ102,31
6174,EB1006,2
43,BRS104,4
27,BRS89,6
28491,ES1485-KS,6
28214,BK2396,5
28201,BK2383,3
28187,BK2375,12
27883,BK2344,9
27735,ES1321-KS,4
27716,ES1302-KS,7
27651,BS1888-KS,2
27483,BKO4043-KS,15
26962,BS1856-KS,6
26783,SN448-KS,1
26086,BKO3855-KS,2
22332,EY198,3
10753,"Clariss Kutu",281
6399,EB852,1
29121,HH1011-KS,6
29061,BYK1035-KS,9
29059,BYK1033-KS,9
29058,BYK1032-KS,6
29056,BYK1030-KS,3
29055,BYK1029-KS,11
29053,BYK1027-KS,17
29052,BYK1026-KS,22
29051,BYK1025-KS,11
29043,BYK1017-KS,10
29035,BYK1009-KS,10
29034,BYK1008-KS,9
29033,BYK1007-KS,7
29031,BYK1005-KS,23
29030,BYK1004-KS,23
29029,BYK1003-KS,23
29028,BYK1002-KS,23
29027,BYK1001-KS,34
29026,BYK1000-KS,35
29025,BYK999-KS,34
29014,BYK988-KS,35
29013,BYK987-KS,35
29012,BYK986-KS,33
28961,EB2501-KS,17
28955,EB2495-KS,12
28949,EB2489-KS,2
28945,EB2485-KS,4
28938,EB2478-KS,5
28932,EB2472-KS,7
28927,EB2467-KS,8
28922,EB2462-KS,7
28902,ERK678,2
28901,ERK677,2
28897,ERK673,4
28887,BK2450,11
28859,BK2422,8
28856,BK2419,15
28855,BK2418,1
28853,BK2416,3
28852,BB2442-KS,1
28846,BB2436-KS,15
28817,HH949-KS,11
28816,HH948-KS,28
28770,BB2423-KS,1
28756,BB2409-KS,12
28753,BKO4174-KS,15
28752,BKO4173-KS,18
28743,HH944-KS,11
28738,HH939-KS,10
28725,HH938-KS,6
28689,BKO4107-KS,9
28688,BKO4106-KS,8
28573,EB2354-KS,18
28567,EB2348-KS,4
28566,EB2347-KS,18
28520,EB2340,5
28516,ES1497-KS,5
28511,ES1495-KS,7
28479,EB2315,2
28437,ES1457-KS,9
28436,ES1456-KS,10
28423,ES1447-KS,10
28403,ES1431-KS,9
28383,EB2280,7
28353,BB2382-KS,11
28352,BB2381-KS,9
28351,BB2380-KS,7
28350,BB2379-KS,7
28337,EB2274-KS,10
28294,BK2411,6
28286,BK2403,5
28285,BK2402,3
28242,ES1416-KS,6
28233,BS1997-KS,18
28231,BS1995-KS,21
28230,BS1994-KS,19
28225,ERK668-KS,5
28215,BK2397,3
28214,BK2396,4
28213,BK2395,6
28211,BK2393,10
28210,BK2392,12
28209,BK2391,18
28204,BK2386,13
28201,BK2383,2
28190,BK2377,7
28185,BK2373,1
28181,BK2369,21
28175,BS1984-KS,17
28171,BS1980-KS,17
28163,BY845-KS,24
28162,BY844-KS,27
28161,BY843-KS,31
28160,BY842-KS,41
28159,BY841-KS,101
28158,BY840-KS,28
28157,BY839-KS,24
28152,BKP4251-KS,9
28147,BKP4246-KS,5
28060,BS1961-KS,21
28047,BS1948-KS,9
28012,BKO4084-KS,14
28007,BKO4079-KS,3
27933,BK2366,1
27920,BY831-KS,13
27919,BY830-KS,17
27918,BY829-KS,20
27917,BY828-KS,19
27916,BY827-KS,44
27915,BY826-KS,39
27914,BY825-KS,32
27913,BY824-KS,17
27912,BY823-KS,20
27911,BY822-KS,16
27910,BY821-KS,16
27909,BY820-KS,6
27908,BY819-KS,34
